xrays;masks
./xrays/0.png;None
./xrays/1.png;None
./xrays/2.png;None
./xrays/3.png;None
./xrays/4.png;None
./xrays/5.png;None
./xrays/6.png;None
./xrays/7.png;None
./xrays/8.png;None
./xrays/9.png;None
./xrays/10.png;None
./xrays/11.png;None
./xrays/12.png;None
./xrays/13.png;None
./xrays/14.png;None
./xrays/15.png;None
./xrays/16.png;None
./xrays/17.png;None
./xrays/18.png;None
./xrays/19.png;./masks/19.png
./xrays/20.png;./masks/20.png
./xrays/21.png;./masks/21.png
./xrays/22.png;./masks/22.png
./xrays/23.png;./masks/23.png
./xrays/24.png;./masks/24.png
./xrays/25.png;./masks/25.png
./xrays/26.png;./masks/26.png
./xrays/27.png;./masks/27.png
./xrays/28.png;./masks/28.png
./xrays/29.png;./masks/29.png
./xrays/30.png;./masks/30.png
./xrays/31.png;./masks/31.png
./xrays/32.png;./masks/32.png
./xrays/33.png;./masks/33.png
./xrays/34.png;./masks/34.png
./xrays/35.png;./masks/35.png
./xrays/36.png;./masks/36.png
./xrays/37.png;./masks/37.png
./xrays/38.png;./masks/38.png
./xrays/39.png;./masks/39.png
./xrays/40.png;./masks/40.png
./xrays/41.png;./masks/41.png
./xrays/42.png;./masks/42.png
./xrays/43.png;./masks/43.png
./xrays/44.png;./masks/44.png
./xrays/45.png;./masks/45.png
./xrays/46.png;./masks/46.png
./xrays/47.png;./masks/47.png
./xrays/48.png;./masks/48.png
./xrays/49.png;./masks/49.png
./xrays/50.png;./masks/50.png
./xrays/51.png;./masks/51.png
./xrays/52.png;./masks/52.png
./xrays/53.png;./masks/53.png
./xrays/54.png;./masks/54.png
./xrays/55.png;./masks/55.png
./xrays/56.png;./masks/56.png
./xrays/57.png;./masks/57.png
./xrays/58.png;./masks/58.png
./xrays/59.png;./masks/59.png
./xrays/60.png;./masks/60.png
./xrays/61.png;./masks/61.png
./xrays/62.png;./masks/62.png
./xrays/63.png;./masks/63.png
./xrays/64.png;./masks/64.png
./xrays/65.png;./masks/65.png
./xrays/66.png;./masks/66.png
./xrays/67.png;./masks/67.png
./xrays/68.png;./masks/68.png
./xrays/69.png;./masks/69.png
./xrays/70.png;./masks/70.png
./xrays/71.png;./masks/71.png
./xrays/72.png;./masks/72.png
./xrays/73.png;./masks/73.png
./xrays/74.png;./masks/74.png
./xrays/75.png;./masks/75.png
./xrays/76.png;./masks/76.png
./xrays/77.png;./masks/77.png
./xrays/78.png;./masks/78.png
./xrays/79.png;./masks/79.png
./xrays/80.png;None
./xrays/81.png;None
./xrays/82.png;None
./xrays/83.png;None
./xrays/84.png;None
./xrays/85.png;None
./xrays/86.png;None
./xrays/87.png;None
./xrays/88.png;None
./xrays/89.png;None
./xrays/90.png;None
./xrays/91.png;None
./xrays/92.png;None
./xrays/93.png;None
./xrays/94.png;None
./xrays/95.png;None
./xrays/96.png;None
./xrays/97.png;None
./xrays/98.png;None
./xrays/99.png;None
./xrays/100.png;./masks/100.png
./xrays/101.png;./masks/101.png
./xrays/102.png;./masks/102.png
./xrays/103.png;./masks/103.png
./xrays/104.png;./masks/104.png
./xrays/105.png;./masks/105.png
./xrays/106.png;./masks/106.png
./xrays/107.png;./masks/107.png
./xrays/108.png;./masks/108.png
./xrays/109.png;./masks/109.png
./xrays/110.png;./masks/110.png
./xrays/111.png;./masks/111.png
./xrays/112.png;./masks/112.png
./xrays/113.png;./masks/113.png
./xrays/114.png;./masks/114.png
./xrays/115.png;./masks/115.png
./xrays/116.png;./masks/116.png
./xrays/117.png;./masks/117.png
./xrays/118.png;./masks/118.png
./xrays/119.png;./masks/119.png
./xrays/120.png;./masks/120.png
./xrays/121.png;./masks/121.png
./xrays/122.png;./masks/122.png
./xrays/123.png;./masks/123.png
./xrays/124.png;./masks/124.png
./xrays/125.png;./masks/125.png
./xrays/126.png;./masks/126.png
./xrays/127.png;./masks/127.png
./xrays/128.png;./masks/128.png
./xrays/129.png;./masks/129.png
./xrays/130.png;./masks/130.png
./xrays/131.png;./masks/131.png
./xrays/132.png;./masks/132.png
./xrays/133.png;./masks/133.png
./xrays/134.png;./masks/134.png
./xrays/135.png;./masks/135.png
./xrays/136.png;./masks/136.png
./xrays/137.png;./masks/137.png
./xrays/138.png;./masks/138.png
./xrays/139.png;None
./xrays/140.png;None
./xrays/141.png;None
./xrays/142.png;None
./xrays/143.png;None
./xrays/144.png;None
./xrays/145.png;None
./xrays/146.png;None
./xrays/147.png;None
./xrays/148.png;None
./xrays/149.png;None
